Business Name,Category,Full Address,City,Postal Code,Latitude,Longitude,Website URL,Phone Number
Belle vue,Camping,,,,48.663889,-2.843889,https://www.campingbellevue.net,
Camping du Bontemps,Camping,,,,45.4282078,4.9282589,,
Bornand,Camping,,,,45.879444,6.640833,,
La Brande,Camping,,,,45.904167,-1.215278,,
Lou Broustaricq,Camping,,,,44.499167,-1.079167,https://www.lou-broustaricq.com,+33558827482
Camping la Camassade,Camping,523 Route de Pie Lombard,Tourrettes sur Loup,06140,43.705,7.050556,https://camassade.com/,
Camping Les Cantarelles - Camping Aveyron,Camping,,,,44.106667,2.689722,https://www.camping-cantarelles.fr/fr,+33482780028
Camping Les Gorges du Chambon Ciela Village,Camping,,,,45.6592339,0.5571119,https://www.camping-gorges-chambon.fr/fr,+33564080013
Camping Château de Chanteloup,Camping,Pays de la Loire,Sillé-le-Philippe,72460,48.1072445,0.3411791,https://www.chateaudechsnteloup.com,+33243275107
Charbonnieres,Camping,,,,48.719722,3.037778,,
Le Ch'timi,Camping,,,,44.4981705,1.0662656,,
Base de loisirs d'Haulmé,Camping,1 Route du Domaine,Haulmé,08800,49.8563539,4.7929466,https://www.domainedhaulme.fr,+33769672788
Côté Lac,Camping,,,,46.5206796,-0.2845078,https://campingcotelac.fr/,+33549699667
Parc Saint-James-Montana,Camping,370 Route du Bourrian,Gassin,83580,43.2407744,6.5734098,https://camping-parcsaintjames.com,+33494552020
Iroise,Camping,,,,48.168889,-4.289444,https://www.camping-iroise.fr,+33298815272
La Simioune,Camping,,,,44.2969829,4.7868612,,+33990304462
Château de Lacomté Camping,Camping,984 Route de Lacomté,Carlucet,46500,44.7283254,1.5970592,https://campinglacomte.com,+33565387546
Landisses Municipal,Camping,,,,45.37,1.144167,,
Le Todos,Camping,,,,43.690278,7.156389,,
Camping Le Vézère Périgord,Camping,,,,44.976111,1.046944,,
Lei Suves,Camping,,,,43.4765798,6.6387165,,
Camping Lestaubière,Camping,,,,44.992778,0.598611,,
Leychoisier,Camping,,,,45.932222,1.290278,,
Le Port de Limeuil ****,Camping,,,,44.8808723,0.8855581,https://www.leportdelimeuil.com/,+33553632976
Loisirs du Moulin,Camping,,,,45.506667,5.207222,,
r de Bezolle,Camping,,,,47.058889,3.816944,,
Domaine de Mesqueau,Camping,870 Route de Mesqueau,Plougasnou,29630,48.6647118,-3.7809098,https://www.camping-mesqueau.com,+33298673745
illac,Camping,,,,44.364722,2.865,,
Le Moulin de David,Camping,,,,44.658889,0.879167,https://www.moulindedavid.com,
Oceanic,Camping,,,,47.2962727,-2.5368486,,
Paille Basse,Camping,,,,44.945556,1.441111,,
Camping La Palombière,Camping,,,,44.906667,1.292222,,
Le Val Fleury,Camping,,,,48.0025,1.233333,https://www.val-fleuri.fr/,
Pecheurs,Camping,,,,43.450833,6.633611,,
Le Peyrelade,Camping,,Rivière-sur-Tarn,12640,44.190833,3.156944,https://www.campingpeyrelade.com,+33565626254
Pierrire,Camping,,,,45.946944,-1.3125,,
Les Pinèdes,Camping,Route du Pont de Pierre,,,43.6820171,7.0835292,https://www.lespinedes.com/,
Ratebout,Camping,,,,44.740556,1.044167,,
Roches,Camping,,,,48.5430352,2.1378939,,
La Presqu’île,Camping,32 Chemin du Roustou,Prunières,05230,44.5229774,6.3407309,https://www.campinglapresquile.com,
Sunêlia La Source,Camping,,,,44.8536313,2.7709879,,
Varennes,Camping,,,,47.712778,-0.499167,,
Château Le Verdoyer,Camping,,,,45.551111,0.795833,,
A Stella,Camping,,,,42.729722,9.3419439,http://www.campingastella.com/,+33495371437
U Moru,Camping,,,,41.531389,9.165278,,
Les Epichées,Camping,,,,49.0962616,5.4719377,,
Camping Les Eymes,Camping,,,,45.1449867,5.5159651,http://www.camping-les-eymes.com/,+33476952485
Espace nature Au creux du chêne,Camping,,,,48.996268,3.0420896,,+33766044745
L'Age,Camping,,,,46.2985423,1.8240212,https://tourisme-valleedespeintres-creuse.com/Ou-dormir/Campings/(view)/167000157,+33555892461
Camping de Keromen,Camping,38 Rue de Cornouaille,,,47.9414118,-4.0248701,http://www.campingdekeromen.fr/index.html,+33298640959
Unnamed Camping 279921792,Camping,,,,45.8435303,2.7893539,,
Isis en Cévennes,Camping,,Saint-Julien-de-la-Nef,30440,43.9530898,3.6825643,https://www.isisencevennes.fr,+33467738028
Île de Loisirs,Camping,,,,48.4790842,2.7147975,https://www.bois-le-roi.iledeloisirs.fr/,+33164813300
Camping Sanguinet Plage,Camping,1039 Avenue de Losa,Sanguinet,40460,44.4831413,-1.0893191,https://www.sandaya.fr,+33558786174
La Mérindole,Camping,,,,43.4228713,4.9783807,http://www.portdebouc-tourisme.fr/hebergements/campings/,+33442062689
Unnamed Camping 290594762,Camping,,,,44.9426497,1.763111,,
